Site ,Stream name ,Source/Location,Latitude,Longitude,Level IV Ecoregion,Drainage area,Channel slope,Bankfull area,Bankfull width,Bankfull mean depth,Width/depth ratio,Entrenchment Ratio,Sinuosity,Stream classification,Manning’s n,Bankfull mean velocity,Bankfull discharge,100-year discharge,100-year floodplain shear stress
26,Little Swan Creek,TDEC ECO71F28,35.529466,-87.453971,71f,8.82,0.0055,113.3,48.1,2.4,20.4,3.1,1.3,C4,0.043,4.28,485,3930,2.75
27,Sevenmile Creek,USGS Gage 3431040,36.072007,-86.733542,71h,12.2,0.0039,94.3,36.7,2.6,14.3,3.1,1.03,C1,0.035,4.56,430,7528,3.2
28,Little Buffalo River,Laurel Hill WMA,35.352696,-87.503928,71f,13.2,0.0072,155.5,54.9,2.8,19.4,3.5,1.02,C4,0.037,6.41,996,4860,2.78
29,Whites Creek,USGS Gage 3431530,36.273604,-86.817171,71h,13.8,0.0031,102.4,36,2.8,12.6,1.2,1.02,F1,0.035,4.31,441,7110,4.64
30,Salt Lick Creek,USGS Gage 3312259,36.551887,-85.8573,71g,14.5,0.0024,118.7,62.3,1.9,32.7,2.4,1.25,C1,-- ,4.04,480,5140,1.73
31,Richland Creek,USGS Gage 3431700,36.144459,-86.852688,71h,24.3,0.0074,215.5,66.8,3.2,20.7,3.5,1.06,C4,-- ,3.85,829,11066,4.22
32,Wartrace Creek,USGS Gage 3597590,35.526917,-86.340099,71h,35.7,0.003,311.4,65,4.8,13.6,3.7,1.14,C1,0.035,6.04,1881,15453,2.84
33,Bradley Creek,USGS Gage 3578500,35.356352,-85.978926,71g,41.3,0.0014,260,78.6,3.3,23.8,2.4,1.15,C4,-- ,2.69,700,7624,1.29
34,Whites Creek,USGS Gage 3431599,36.216224,-86.819321,71h,51.3,0.0022,305.1,70.4,4.3,16.3,1.5,1.04,B1c,0.038,4.56,1391,16500,3.67
35,Fountain Creek,USGS Gage 3599450,35.51837,-86.942251,71h,74,0.0022,472,72.6,6.5,11.2,2.2,1.55,E3,0.052,4.2,1980,19500,4.12
36,Duck River,USGS Gage 3596000,35.471141,-86.121514,71h,107,0.0014,675.1,114.2,5.9,19.3,5.6,1.78,C3,-- ,2.78,1880,46121,2.42
